ID,SRNA_NAME,TARGET_NAME,TAXID,ORG_CODE,STRAIN_NAME,SRNA_TYPE,SRNA_LENGTH,SRNA_START,SRNA_END,SRNA_STRAND,TARGET_TYPE,TARGET_LENGTH,TARGET_START,TARGET_END,TARGET_STRAND,REGULATION
13,GcvB,STM4351,99287,stm,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Trans-encoded antisense,201,3135317,3135517,forward,mRMA,741,4595404,4596144,reverse,2
14,micF,ompF,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,93,2313084,2313176,forward,mRMA,1089,985894,986982,reverse,2
15,micC,ompC,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,109,1437121,1437229,forward,mRMA,1104,2311646,2312749,reverse,2
16,oxyS,rpoS,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,110,4158285,4158394,reverse,mRMA,993,2866559,2867551,reverse,2
17,oxyS,fhlA,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,110,4158285,4158394,reverse,mRMA,2079,2854338,2856416,forward,2
18,MicA,STY1091,220341,sty,Salmonella enterica subsp. enterica serovar Typhi str. CT18,Trans-encoded antisense,76,2819747,2819822,forward,mRMA,1053,1070003,1071055,reverse,2
19,MicA,lamB,99287,stm,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Trans-encoded antisense,79,2966847,2966925,forward,mRMA,1359,4452079,4453437,forward,2
20,istR,tisB,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,140,3853118,3853257,reverse,mRMA,90,3853553,3853642,forward,2
21,omrA,fepA,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,88,2976102,2976189,reverse,mRMA,2241,610254,612494,reverse,2
22,omrA,cirA,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,88,2976102,2976189,reverse,mRMA,1992,2244778,2246769,reverse,2
23,omrA,ompR,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,88,2976102,2976189,reverse,mRMA,720,3535865,3536584,reverse,2
24,omrA,ompT,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,88,2976102,2976189,reverse,mRMA,954,584680,585633,reverse,2
25,omrA,fecA,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,88,2976102,2976189,reverse,mRMA,2325,4514353,4516677,reverse,2
26,omrB,fecA,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,82,2976304,2976385,reverse,mRMA,2325,4514353,4516677,reverse,2
27,omrB,cirA,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,82,2976304,2976385,reverse,mRMA,1992,2244778,2246769,reverse,2
28,omrB,ompR,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,82,2976304,2976385,reverse,mRMA,720,3535865,3536584,reverse,2
29,omrB,ompT,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,82,2976304,2976385,reverse,mRMA,954,584680,585633,reverse,2
30,omrA,btuB,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,88,2976102,2976189,reverse,mRMA,1845,4163639,4165483,forward,2
31,omrA,glmM,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,88,2976102,2976189,reverse,mRMA,1338,3322733,3324070,reverse,2
32,omrA,folP,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,88,2976102,2976189,reverse,mRMA,849,3324063,3324911,reverse,2
33,omrB,glmM,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,82,2976304,2976385,reverse,mRMA,1338,3322733,3324070,reverse,2
34,omrB,folP,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,82,2976304,2976385,reverse,mRMA,849,3324063,3324911,reverse,2
35,rprA,rpoS,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,106,1770372,1770477,forward,mRMA,993,2866559,2867551,reverse,1
36,rseX,ompA,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,91,2033649,2033739,forward,mRMA,1041,1019013,1020053,reverse,1
37,rseX,ompC,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,91,2033649,2033739,forward,mRMA,1104,2311646,2312749,reverse,2
38,rybB,ompC,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,79,887976,888054,reverse,mRMA,1104,2311646,2312749,reverse,2
39,ryhB,iscS,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,90,3580927,3581016,reverse,mRMA,1215,2660317,2661531,reverse,2
40,rybB,ompW,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,79,887976,888054,reverse,mRMA,639,1314020,1314658,forward,2
41,RybB,ompN,99287,stm,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Trans-encoded antisense,89,942544,942632,reverse,mRMA,1134,1549676,1550809,reverse,2
42,rydC,yejA,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,64,1491443,1491506,reverse,mRMA,1815,2272364,2274178,forward,2
43,ryhB,fur,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,90,3580927,3581016,reverse,mRMA,447,710200,710646,reverse,2
44,ryhB,sdhD,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,90,3580927,3581016,reverse,mRMA,348,755560,755907,forward,2
45,ryhB,sodB,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,90,3580927,3581016,reverse,mRMA,582,1735378,1735959,forward,2
46,ryhB,acnA,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,90,3580927,3581016,reverse,mRMA,2676,1335831,1338506,forward,2
47,ryhB,fumA,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,90,3580927,3581016,reverse,mRMA,1647,1686731,1688377,reverse,2
48,Spot_42,galK,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,109,4049899,4050007,forward,mRMA,1149,788831,789979,reverse,2
49,cyaR,luxS,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,87,2167114,2167200,forward,mRMA,516,2814218,2814733,reverse,2
50,cyaR,yqaE,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,87,2167114,2167200,forward,mRMA,159,2796870,2797028,reverse,2
51,cyaR,nadE,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,87,2167114,2167200,forward,mRMA,828,1822458,1823285,forward,2
52,cyaR,ompX,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,87,2167114,2167200,forward,mRMA,516,850450,850965,forward,2
53,ryhB,shiA,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,90,3580927,3581016,reverse,mRMA,1317,2053643,2054959,forward,1
54,prrF1,sodB,208964,pae,Pseudomonas aeruginosa PAO1,Trans-encoded antisense,151,5283960,5284110,forward,mRMA,582,4893697,4894278,forward,2
55,prrF2,sodB,208964,pae,Pseudomonas aeruginosa PAO1,Trans-encoded antisense,148,5284172,5284319,forward,mRMA,582,4893697,4894278,forward,2
56,ArrF,sodB,322710,avn,Azotobacter vinelandii DJ,Trans-encoded antisense,140,4291687,4291826,forward,mRMA,582,3824430,3825011,forward,1
57,prrF1,PA4880,208964,pae,Pseudomonas aeruginosa PAO1,Trans-encoded antisense,151,5283960,5284110,forward,mRMA,534,5476945,5477478,forward,2
58,prrF2,PA4880,208964,pae,Pseudomonas aeruginosa PAO1,Trans-encoded antisense,148,5284172,5284319,forward,mRMA,534,5476945,5477478,forward,2
59,ArrF,FeSII,322710,avn,Azotobacter vinelandii DJ,Trans-encoded antisense,140,4291687,4291826,forward,mRMA,488,4019669,4020156,reverse,2
60,prrF1,antA,208964,pae,Pseudomonas aeruginosa PAO1,Trans-encoded antisense,151,5283960,5284110,forward,mRMA,1395,2829440,2830834,forward,2
61,prrF2,antA,208964,pae,Pseudomonas aeruginosa PAO1,Trans-encoded antisense,148,5284172,5284319,forward,mRMA,1395,2829440,2830834,forward,2
62,ArrF,phbR,322710,avn,Azotobacter vinelandii DJ,Trans-encoded antisense,140,4291687,4291826,forward,mRMA,1047,2371675,2372721,forward,1
63,MicA,ompX,99287,stm,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Trans-encoded antisense,79,2966847,2966925,forward,mRMA,516,899534,900049,forward,2
64,dicF,ftsZ,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,53,1649382,1649434,forward,mRMA,1152,105305,106456,forward,2
65,sgrS,rpoS,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,227,77367,77593,forward,mRMA,993,2866559,2867551,reverse,2
66,sgrS,ptsG,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,227,77367,77593,forward,mRMA,1434,1157869,1159302,forward,2
67,gadY,gadX,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,105,3664864,3664968,forward,mRMA,825,3664986,3665810,reverse,1
68,glmZ,glmS,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,207,3986432,3986638,forward,mRMA,1830,3911839,3913668,reverse,1
69,glmY,glmS,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,184,2691157,2691340,reverse,mRMA,1830,3911839,3913668,reverse,1
70,MicX,VC0620,243277,vch,Vibrio cholerae O1 biovar El Tor str. N16961,Trans-encoded antisense,347,893271,893617,reverse,mRMA,1671,655653,657323,reverse,2
71,VrrA,VC2213,243277,vch,Vibrio cholerae O1 biovar El Tor str. N16961,Trans-encoded antisense,139,1878684,1878822,forward,mRMA,966,2365293,2366258,reverse,2
72,VrrA,VC0828,243277,vch,Vibrio cholerae O1 biovar El Tor str. N16961,Trans-encoded antisense,139,1878684,1878822,forward,mRMA,675,890449,891123,forward,2
73,SR1,ahrC,224308,bsu,Bacillus subtilis subsp. subtilis str. 168,Trans-encoded antisense,205,1534070,1534274,forward,mRMA,450,2522324,2522773,reverse,2
76,GcvB,ompR,99287,stm,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Trans-encoded antisense,201,3135317,3135517,forward,mRMA,720,3659606,3660325,reverse,2
77,symR,symE,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,77,4579835,4579911,forward,mRMA,342,4579499,4579840,reverse,2
78,sokB,hokB,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,56,1492119,1492174,forward,mRMA,150,1491922,1492071,reverse,2
79,sokB,mokB,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,56,1492119,1492174,forward,mRMA,168,1491962,1492129,reverse,2
80,sokC,hokC,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,55,16952,17006,forward,mRMA,153,16751,16903,reverse,2
81,sokC,mokC,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,55,16952,17006,forward,mRMA,210,16751,16960,reverse,2
83,omrA,gntP,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,88,2976102,2976189,reverse,mRMA,1344,4549953,4551296,reverse,2
90,oxyS,yobF,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,110,4158285,4158394,reverse,mRMA,144,1907448,1907591,reverse,2
91,oxyS,wrbA,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,110,4158285,4158394,reverse,mRMA,597,1067112,1067708,reverse,2
92,RNAIII,spa,426430,sae,Staphylococcus aureus subsp. aureus str. NEWMAN,Trans-encoded antisense,514,2150802,2151315,reverse,mRMA,1563,73428,74990,reverse,2
93,RNAIII,hla,426430,sae,Staphylococcus aureus subsp. aureus str. NEWMAN,Trans-encoded antisense,514,2150802,2151315,reverse,mRMA,960,1176265,1177224,reverse,1
94,RNAIII,rot,196620,sam,Staphylococcus aureus subsp. aureus MW2,Trans-encoded antisense,514,2107330,2107843,reverse,mRMA,462,1859615,1860076,reverse,2
95,NrrF,sdhC,122586,nme,Neisseria meningitidis MC58,Trans-encoded antisense,159,2195866,2196024,forward,mRMA,378,962508,962885,forward,2
96,NrrF,sdhA,122586,nme,Neisseria meningitidis MC58,Trans-encoded antisense,159,2195866,2196024,forward,mRMA,1764,963223,964986,forward,2
97,MicX,VC0972,243277,vch,Vibrio cholerae O1 biovar El Tor str. N16961,Trans-encoded antisense,347,893271,893617,reverse,mRMA,1050,1037891,1038940,forward,2
98,gcvB,cycA,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,206,2942696,2942901,forward,mRMA,1413,4429864,4431276,forward,2
99,Qrr1,VIBHAR_RS16180,338187,vha,Vibrio campbellii ATCC BAA-1116,Trans-encoded antisense,95,2983624,2983718,forward,mRMA,618,3512168,3512785,forward,2
100,Qrr2,VIBHAR_RS16180,338187,vha,Vibrio campbellii ATCC BAA-1116,Trans-encoded antisense,109,111193,111301,forward,mRMA,618,3512168,3512785,forward,2
101,Qrr3,VIBHAR_RS16180,338187,vha,Vibrio campbellii ATCC BAA-1116,Trans-encoded antisense,109,555291,555399,reverse,mRMA,618,3512168,3512785,forward,2
102,Qrr4,VIBHAR_RS16180,338187,vha,Vibrio campbellii ATCC BAA-1116,Trans-encoded antisense,109,1833376,1833484,reverse,mRMA,618,3512168,3512785,forward,2
103,FsrA,sdhC,224308,bsu,Bacillus subtilis subsp. subtilis str. 168,Trans-encoded antisense,46,1483560,1483605,forward,mRMA,609,2908129,2908737,reverse,2
104,omrA,fecD,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,88,2976102,2976189,reverse,mRMA,957,4511458,4512414,reverse,2
105,omrB,gntP,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,82,2976304,2976385,reverse,mRMA,1344,4549953,4551296,reverse,2
106,rdlD,ldrD,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,66,3700136,3700201,forward,mRMA,108,3699980,3700087,reverse,2
107,gcvB,sstT,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,206,2942696,2942901,forward,mRMA,1245,3239944,3241188,forward,2
108,InvR,ompD,99287,stm,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Trans-encoded antisense,93,3044923,3045015,forward,mRMA,1089,1655173,1656261,forward,2
109,IsrN,STM2765,99287,stm,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Trans-encoded antisense,143,2906925,2907067,forward,mRMA,267,2907066,2907332,reverse,1
110,IsrC,msgA,99287,stm,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Trans-encoded antisense,288,1329145,1329432,forward,mRMA,240,1329466,1329705,reverse,2
111,ryhB,bfr,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,90,3580927,3581016,reverse,mRMA,477,3466249,3466725,reverse,2
112,ryhB,ftnA,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,90,3580927,3581016,reverse,mRMA,498,1988716,1989213,forward,2
113,Qrr1,VC0583,243277,vch,Vibrio cholerae O1 biovar El Tor str. N16961,Trans-encoded antisense,96,1089964,1090059,reverse,mRMA,611,612566,613176,reverse,2
114,Qrr2,VC0583,243277,vch,Vibrio cholerae O1 biovar El Tor str. N16961,Trans-encoded antisense,108,48448,48555,forward,mRMA,611,612566,613176,reverse,2
115,Qrr3,VC0583,243277,vch,Vibrio cholerae O1 biovar El Tor str. N16961,Trans-encoded antisense,107,772257,772363,forward,mRMA,611,612566,613176,reverse,2
116,Qrr4,VC0583,243277,vch,Vibrio cholerae O1 biovar El Tor str. N16961,Trans-encoded antisense,107,908201,908307,reverse,mRMA,611,612566,613176,reverse,2
117,Qrr1,VCA0939,243277,vch,Vibrio cholerae O1 biovar El Tor str. N16961,Trans-encoded antisense,96,1089964,1090059,reverse,mRMA,966,890253,891218,forward,2
118,Qrr2,VCA0939,243277,vch,Vibrio cholerae O1 biovar El Tor str. N16961,Trans-encoded antisense,108,48448,48555,forward,mRMA,966,890253,891218,forward,2
119,Qrr3,VCA0939,243277,vch,Vibrio cholerae O1 biovar El Tor str. N16961,Trans-encoded antisense,107,772257,772363,forward,mRMA,966,890253,891218,forward,2
120,Qrr4,VCA0939,243277,vch,Vibrio cholerae O1 biovar El Tor str. N16961,Trans-encoded antisense,107,908201,908307,reverse,mRMA,966,890253,891218,forward,2
121,Qrr1,luxO,243277,vch,Vibrio cholerae O1 biovar El Tor str. N16961,Trans-encoded antisense,96,1089964,1090059,reverse,mRMA,1368,1090250,1091617,forward,2
122,Qrr2,luxO,243277,vch,Vibrio cholerae O1 biovar El Tor str. N16961,Trans-encoded antisense,108,48448,48555,forward,mRMA,1368,1090250,1091617,forward,2
123,Qrr3,luxO,243277,vch,Vibrio cholerae O1 biovar El Tor str. N16961,Trans-encoded antisense,107,772257,772363,forward,mRMA,1368,1090250,1091617,forward,2
124,Qrr4,luxO,243277,vch,Vibrio cholerae O1 biovar El Tor str. N16961,Trans-encoded antisense,107,908201,908307,reverse,mRMA,1368,1090250,1091617,forward,2
125,ryhB,sucB,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,1218,761522,762739,forward,0
126,ryhB,sucC,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,1167,763014,764180,forward,0
127,ryhB,sucD,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,870,764180,765049,forward,0
128,ryhB,gltA,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,1284,753185,754468,reverse,0
129,ryhB,mdh,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,939,3383330,3384268,reverse,0
130,ryhB,icd,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,1251,1195123,1196373,forward,0
131,oxyS,tolA,511145,eco,Escherichia coli K12 MG1655,0,110,4158285,4158394,reverse,mRMA,1266,776342,777607,forward,0
132,oxyS,tolB,511145,eco,Escherichia coli K12 MG1655,0,110,4158285,4158394,reverse,mRMA,1293,777740,779032,forward,0
133,oxyS,tolR,511145,eco,Escherichia coli K12 MG1655,0,110,4158285,4158394,reverse,mRMA,429,775849,776277,forward,0
134,oxyS,yeaK,511145,eco,Escherichia coli K12 MG1655,0,110,4158285,4158394,reverse,mRMA,504,1873574,1874077,forward,0
135,oxyS,gtrB,511145,eco,Escherichia coli K12 MG1655,0,110,4158285,4158394,reverse,mRMA,921,2468214,2469134,forward,0
136,oxyS,dppD,511145,eco,Escherichia coli K12 MG1655,0,110,4158285,4158394,reverse,mRMA,984,3702865,3703848,reverse,0
137,oxyS,rpmG,511145,eco,Escherichia coli K12 MG1655,0,110,4158285,4158394,reverse,mRMA,168,3811250,3811417,reverse,0
138,oxyS,gfcB,511145,eco,Escherichia coli K12 MG1655,0,110,4158285,4158394,reverse,mRMA,645,1048688,1049332,reverse,0
139,oxyS,fabB,511145,eco,Escherichia coli K12 MG1655,0,110,4158285,4158394,reverse,mRMA,1221,2440385,2441605,reverse,0
140,oxyS,mnmH,511145,eco,Escherichia coli K12 MG1655,0,110,4158285,4158394,reverse,mRMA,1095,530132,531226,reverse,0
141,oxyS,yccE,511145,eco,Escherichia coli K12 MG1655,0,110,4158285,4158394,reverse,mRMA,1257,1064036,1065292,forward,0
142,oxyS,tusD,511145,eco,Escherichia coli K12 MG1655,0,110,4158285,4158394,reverse,mRMA,387,3475332,3475718,reverse,0
143,oxyS,pmbA,511145,eco,Escherichia coli K12 MG1655,0,110,4158285,4158394,reverse,mRMA,1353,4457959,4459311,forward,0
144,oxyS,moaD,511145,eco,Escherichia coli K12 MG1655,0,110,4158285,4158394,reverse,mRMA,246,819048,819293,forward,0
145,oxyS,yeaC,511145,eco,Escherichia coli K12 MG1655,0,110,4158285,4158394,reverse,mRMA,273,1861702,1861974,reverse,0
146,ryhB,ybjG,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,597,882792,883388,reverse,0
147,ryhB,paoA,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,690,301884,302573,reverse,0
148,ryhB,yfgO,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,1062,2614820,2615881,reverse,0
149,ryhB,yadS,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,624,177001,177624,reverse,0
150,ryhB,kdpA,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,1674,727059,728732,reverse,0
151,ryhB,citG,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,879,646631,647509,reverse,0
152,ryhB,yagJ,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,828,291404,292231,forward,0
153,ryhB,sugE,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,318,4376875,4377192,forward,0
154,ryhB,gspD,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,1953,3456377,3458329,forward,0
155,ryhB,motA,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,888,1976252,1977139,reverse,0
156,ryhB,pinH,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,240,2783065,2783304,reverse,0
157,ryhB,hyuA,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,1386,3010028,3011413,forward,0
158,ryhB,ynfF,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,2424,1660556,1662979,forward,0
159,ryhB,yiaM,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,474,3744328,3744801,forward,0
160,ryhB,yegK,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,762,2151711,2152472,reverse,0
161,ryhB,ygiQ,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,2220,3158927,3161146,reverse,0
162,ryhB,ydaN,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,984,1408050,1409033,forward,0
163,ryhB,ykgE,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,720,321608,322327,forward,0
164,ryhB,yecD,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,567,1950832,1951398,forward,0
165,ryhB,metH,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,3684,4223828,4227511,forward,0
166,ryhB,proA,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,1254,261503,262756,forward,0
167,ryhB,metI,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,654,220968,221621,reverse,0
168,ryhB,mqsA,511145,eco,Escherichia coli K12 MG1655,0,90,3580927,3581016,reverse,mRMA,396,3167851,3168246,reverse,0
169,omrA,lit,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,894,1198695,1199588,forward,0
170,omrA,gmhB,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,576,222833,223408,forward,0
171,omrA,deoR,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,759,881976,882734,reverse,0
172,omrA,nadA,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,1044,782085,783128,forward,0
173,omrA,glcD,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,1500,3126522,3128021,reverse,0
174,omrA,uup,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,1908,1009964,1011871,forward,0
175,omrA,clpB,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,2574,2731600,2734173,reverse,0
176,omrA,yccS,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,2154,1021730,1023883,reverse,0
177,omrA,cydD,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,1767,929196,930962,reverse,0
178,omrA,ydbC,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,861,1474221,1475081,forward,0
179,omrA,hisM,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,717,2424517,2425233,reverse,0
180,omrA,folA,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,480,49823,50302,forward,0
181,omrA,yadD,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,903,146968,147870,forward,0
182,omrA,sufD,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,1272,1760520,1761791,reverse,0
183,omrA,mipA,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,747,1865726,1866472,reverse,0
184,omrA,rrrD,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,498,577613,578110,forward,0
185,omrA,higB,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,315,3234141,3234455,reverse,0
186,omrA,yhbE,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,966,3331770,3332735,reverse,0
187,omrA,csiE,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,1281,2665435,2666715,forward,0
188,omrA,xylH,511145,eco,Escherichia coli K12 MG1655,0,88,2976102,2976189,reverse,mRMA,1182,3733720,3734901,forward,0
